id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
16400,H2203,hebrew,זֶפֶת,zepheth,zeh'-feth,asphalt (from its tendency to soften in the sun),pitch.,from an unused root (meaning to liquify);
16401,H2204,hebrew,זָקֵן,zâqên,zaw-kane',to be old,"aged man, be (wax) old (man).",a primitive root;
16402,H2205,hebrew,זָקֵן,zâqên,zaw-kane',old,"aged, ancient (man), elder(-est), old (man, men and...women), senator.",from H2204 (זָקֵן);
16403,H2206,hebrew,זָקָן,zâqân,zaw-kawn',the beard (as indicating age),beard.,from H2204 (זָקֵן);
16404,H2207,hebrew,זֹקֶן,zôqen,zo'-ken,old age,age.,from H2204 (זָקֵן);
16405,H2208,hebrew,זָקֻן,zâqun,zaw-koon',old age,old age.,"properly, passive participle of H2204 (זָקֵן) (used only in the plural as a noun);"
16406,H2209,hebrew,זִקְנָה,ziqnâh,zik-naw',old age,old (age).,feminine of H2205 (זָקֵן);
16407,H2210,hebrew,זָקַף,zâqaph,zaw-kaf',"to life, i.e. (figuratively) comfort",raise (up).,a primitive root;
16408,H2211,hebrew,זְקַף,zᵉqaph,zek-af',"to hang, i.e. impale",set up.,(Aramaic) corresponding to H2210 (זָקַף);
16409,H2212,hebrew,זָקַק,zâqaq,zaw-kak',"to strain, (figuratively) extract, clarify","fine, pour down, purge, purify, refine.",a primitive root;
16410,H2213,hebrew,זֵר,zêr,zare,"a chaplet (as spread around the top), i.e. (specifically) a border moulding",crown.,from H2237 (זָרַר) (in the sense of scattering);
16411,H2214,hebrew,זָרָא,zârâʼ,zaw-raw',disgust,loathsome.,from H2114 (זוּר) (in the sense of estrangement) (compare H2219 (זָרָה));
16412,H2215,hebrew,זָרַב,zârab,zaw-rab',to flow away,wax warm.,a primitive root;
16413,H2216,hebrew,זְרֻבָּבֶל,Zᵉrubbâbel,zer-oob-baw-bel',"Zerubbabel, an Israelite",Zerubbabel.,"from H2215 (זָרַב) and H894 (בָּבֶל); descended of (i.e. from) Babylon, i.e. born there;"
16414,H2217,hebrew,זְרֻבָּבֶל,Zᵉrubbâbel,zer-oob-baw-bel',"{Zerubbabel, an Israelite}",Zerubbabel.,(Aramaic) corresponding to H2216 (זְרֻבָּבֶל)
16415,H2218,hebrew,זֶרֶד,Zered,zeh'-red,"Zered, a brook East of the Dead Sea","Zared, Zered.",from an unused root meaning to be exuberant in growth; lined with shrubbery;
16416,H2219,hebrew,זָרָה,zârâh,zaw-raw',"to toss about; by implication, to diffuse, winnow","cast away, compass, disperse, fan, scatter (away), spread, strew, winnow.",a primitive root (compare H2114 (זוּר));
16417,H2220,hebrew,זְרוֹעַ,zᵉrôwaʻ,zer-o'-ah,"the arm (as stretched out), or (of animals) the foreleg; figuratively, force","arm, [phrase] help, mighty, power, shoulder, strength.",or (shortened) זְרֹעַ; and (feminine) זְרוֹעָה; or זְרֹעָה; from H2232 (זָרַע);
16418,H2221,hebrew,זֵרוּעַ,zêrûwaʻ,zay-roo'-ah,"something sown, i.e. a plant","sowing, thing that is sown.",from H2232 (זָרַע);
16419,H2222,hebrew,זַרְזִיף,zarzîyph,zar-zeef',a pouring rain,water.,by reduplication from an unused root meaning to flow;
16420,H2223,hebrew,זַרְזִיר,zarzîyr,zar-zeer',"properly, tightly girt, i.e. probably a racer, or some fleet animal (as being slender in the waist)",[phrase] greyhound.,by reduplication from H2115 (זוּר);
16421,H2224,hebrew,זָרַח,zârach,zaw-rakh',"properly, to irradiate (or shoot forth beams), i.e. to rise (as the sun); specifically, to appear (as a symptom of leprosy)","arise, rise (up), as soon as it is up.",a primitive root;
16422,H2225,hebrew,זֶרַח,zerach,zeh'-rakh,a rising of light,rising.,from H2224 (זָרַח);
16423,H2226,hebrew,זֶרַח,Zerach,zeh'-rakh,"Zerach, the name of three Israelites, also of an Idumaean and an Ethiopian prince","Zarah, Zerah.",the same as H2225 (זֶרַח);
16424,H2227,hebrew,זַרְחִי,Zarchîy,zar-khee',a Zarchite or descendant of Zerach,Zarchite.,patronymically from H2226 (זֶרַח);
16425,H2228,hebrew,זְרַחְיָה,Zᵉrachyâh,zer-akh-yaw',"Zerachjah, the name of two Israelites",Zerahiah.,from H2225 (זֶרַח) and H3050 (יָהּ); Jah has risen;
16426,H2229,hebrew,זָרַם,zâram,zaw-ram',to gush (as water),"carry away as with a flood, pour out.",a primitive root;
16427,H2230,hebrew,זֶרֶם,zerem,zeh'-rem,a gush of water,"flood, overflowing, shower, storm, tempest.",from H2229 (זָרַם);
16428,H2231,hebrew,זִרְמָה,zirmâh,zir-maw',a gushing of fluid (semen),issue.,feminine of H2230 (זֶרֶם);
16429,H2232,hebrew,זָרַע,zâraʻ,zaw-rah',"to sow; figuratively, to disseminate, plant, fructify","bear, conceive seed, set with sow(-er), yield.",a primitive root;
16430,H2233,hebrew,זֶרַע,zeraʻ,zeh'-rah,"seed; figuratively, fruit, plant, sowing-time, posterity","[idiom] carnally, child, fruitful, seed(-time), sowing-time.",from H2232 (זָרַע);
16431,H2234,hebrew,זְרַע,zᵉraʻ,zer-ah',posterity,seed.,(Aramaic) corresponding to H2233 (זֶרַע);
16432,H2235,hebrew,זֵרֹעַ,zêrôaʻ,zay-ro'-ah,"something sown (only in the plural), i.e. a vegetable (as food)",pulse.,or זֵרָעֹן; from H2232 (זָרַע);
16433,H2236,hebrew,זָרַק,zâraq,zaw-rak',to sprinkle (fluid or solid particles),"be here and there, scatter, sprinkle, strew.",a primitive root;
16434,H2237,hebrew,זָרַר,zârar,zaw-rar',"perhaps to diffuse, i.e. (specifically) to sneeze",sneeze.,a primitive root (compare H2114 (זוּר));
16435,H2238,hebrew,זֶרֶשׁ,Zeresh,zeh'-resh,"Zeresh, Haman's wife",Zeresh.,of Persian origin;
16436,H2239,hebrew,זֶרֶת,zereth,zeh'-reth,"the spread of the fingers, i.e. a span",span.,from H2219 (זָרָה);
16437,H2240,hebrew,זַתּוּא,Zattûwʼ,zat-too',"Zattu, an Israelite",Zattu.,of uncertain derivation;
16438,H2241,hebrew,זֵתָם,Zêthâm,zay-thawm',"Zetham, an Israelite",Zetham.,apparently a variation for H2133 (זֵיתָן);
16439,H2242,hebrew,זֵתַר,Zêthar,zay-thar',"Zethar, a eunuch of Xerxes",Zethar. j,of Persian origin;
16440,H2243,hebrew,חֹב,chôb,khobe,"properly, a cherisher, i.e. the bosom",bosom.,by contraction from H2245 (חָבַב);
16441,H2244,hebrew,חָבָא,châbâʼ,khaw-baw',to secrete,"[idiom] held, hide (self), do secretly.",a primitive root (compare H2245 (חָבַב));
16442,H2245,hebrew,חָבַב,châbab,khaw-bab',"properly, to hide (as in the bosom), i.e. to cherish (with affection)",love.,"a primitive root (compare H2244 (חָבָא), H2247 (חָבָה));"
16443,H2246,hebrew,חֹבָב,Chôbâb,kho-bawb',"Chobab, father-in-law of Moses",Hobab.,from H2245 (חָבַב); cherished;
16444,H2247,hebrew,חָבָה,châbâh,khaw-bah',to secrete,hide (self).,a primitive root (compare H2245 (חָבַב));
16445,H2248,hebrew,חֲבוּלָה,chăbûwlâh,khab-oo-law',"properly, overthrown, i.e. (morally) crime",hurt.,(Aramaic) from H2255 (חֲבַל);
16446,H2249,hebrew,חָבוֹר,Châbôwr,khaw-bore',"Chabor, a river of Assyria",Habor.,from H2266 (חָבַר); united;
16447,H2250,hebrew,חַבּוּרָה,chabbûwrâh,khab-boo-raw',"properly, bound (with stripes), i.e. a weal (or black-and-blue mark itself)","blueness, bruise, hurt, stripe, wound.",or חַבֻּרָה; or חֲבֻרָה; from H2266 (חָבַר);
16448,H2251,hebrew,חָבַט,châbaṭ,khaw-bat',to knock out or off,"beat (off, out), thresh.",a primitive root;
16449,H2252,hebrew,חֲבַיָּה,Chăbayâh,khab-ah-yaw',"Chabajah, an Israelite",Habaiah.,"or חֲבָיָהlemma חֲבָיה missing vowel, corrected to חֲבָיָה; from H2247 (חָבָה) and H3050 (יָהּ); Jah has hidden;"
16450,H2253,hebrew,חֶבְיוֹן,chebyôwn,kheb-yone',a concealment,hiding.,from H2247 (חָבָה);
16451,H2254,hebrew,חָבַל,châbal,khaw-bal',"to wind tightly (as a rope), i.e. to bind; specifically, by a pledge; figuratively, to pervert, destroy; also to writhe in pain (especially of parturition)","[idiom] at all, band, bring forth, (deal) corrupt(-ly), destroy, offend, lay to (take a) pledge, spoil, travail, [idiom] very, withhold.",a primitive root;
16452,H2255,hebrew,חֲבַל,chăbal,khab-al',to ruin,"destroy, hurt.",(Aramaic) corresponding to H2254 (חָבַל);
16453,H2256,hebrew,חֶבֶל,chebel,kheh'-bel,"a rope (as twisted), especially a measuring line; by implication, a district or inheritance (as measured); or a noose (as of cords); figuratively, a company (as if tied together); also a throe (especially of parturition); also ruin","band, coast, company, cord, country, destruction, line, lot, pain, pang, portion, region, rope, snare, sorrow, tackling.",or חֵבֶל; from H2254 (חָבַל);
16454,H2257,hebrew,חֲבַל,chăbal,khab-al',harm (personal or pecuniary),"damage, hurt.",(Aramaic) from H2255 (חֲבַל);
16455,H2258,hebrew,חֲבֹל,chăbôl,khab-ole',a pawn (as security for debt),pledge.,or (feminine) חֲבֹלָה; from H2254 (חָבַל);
16456,H2259,hebrew,חֹבֵל,chôbêl,kho-bale',a sailor,"pilot, shipmaster.",active participle from H2254 (חָבַל) (in the sense of handling ropes);
16457,H2260,hebrew,חִבֵּל,chibbêl,khib-bale',a mast,mast.,from H2254 (חָבַל) (in the sense of furnished with ropes);
16458,H2261,hebrew,חֲבַצֶּלֶת,chăbatstseleth,khab-ats-tseh'-leth,probably meadow-saffron,rose.,of uncertain derivation;
16459,H2262,hebrew,חֲבַצַּנְיָה,Chăbatstsanyâh,khab-ats-tsan-yaw',"Chabatstsanjah, a Rechabite",Habazaniah.,of uncertain derivation;
16460,H2263,hebrew,חָבַק,châbaq,khaw-bak',to clasp (the hands or in embrace),"embrace, fold.",a primitive root;
16461,H2264,hebrew,חִבֻּק,chibbuq,khib-book',a clasping of the hands (in idleness),fold.,from H2263 (חָבַק);
16462,H2265,hebrew,חֲבַקּוּק,Chăbaqqûwq,khab-ak-kook',"Chabakkuk, the prophet",Habakkuk.,by reduplication from H2263 (חָבַק); embrace;
16463,H2266,hebrew,חָבַר,châbar,khaw-bar',to join (literally or figuratively); specifically (by means of spells) to fascinate,"charm(-er), be compact, couple (together), have fellowship with, heap up, join (self, together), league.",a primitive root;
16464,H2267,hebrew,חֶבֶר,cheber,kheh'-ber,a society; also a spell,"[phrase] charmer(-ing), company, enchantment, [idiom] wide.",from H2266 (חָבַר);
16465,H2268,hebrew,חֶבֶר,Cheber,kheh'-ber,"Cheber, the name of a Kenite and of three Israelites",Heber.,the same as H2267 (חֶבֶר); community;
16466,H2269,hebrew,חֲבַר,chăbar,khab-ar',an associate,"companion, fellow.",(Aramaic) from a root corresponding to H2266 (חָבַר);
16467,H2270,hebrew,חָבֵר,châbêr,khaw-bare',an associate,"companion, fellow, knit together.",from H2266 (חָבַר);
16468,H2271,hebrew,חַבָּר,chabbâr,khab-bawr',a partner,companion.,from H2266 (חָבַר);
16469,H2272,hebrew,חֲבַרְבֻּרָה,chăbarburâh,khab-ar-boo-raw',"a streak (like a line), as on the tiger",spot.,by reduplication from H2266 (חָבַר);
16470,H2273,hebrew,חַבְרָה,chabrâh,khab-raw',an associate,other.,(Aramaic) feminine of H2269 (חֲבַר);
16471,H2274,hebrew,חֶבְרָה,chebrâh,kheb-raw',association,company.,feminine of H2267 (חֶבֶר);
16472,H2275,hebrew,חֶבְרוֹן,Chebrôwn,kheb-rone',"Chebron, a place in Palestine, also the name of two Israelites",Hebron.,from H2267 (חֶבֶר); seat of association;
16473,H2276,hebrew,חֶבְרוֹנִי,Chebrôwnîy,kheb-ro-nee',"Chebronite (collectively), an inhabitant of Chebron",Hebronites.,or חֶבְרֹנִי; patronymically from H2275 (חֶבְרוֹן);
16474,H2277,hebrew,חֶבְרִי,Chebrîy,kheb-ree',a Chebrite (collectively) or descendants of Cheber,Heberites.,patronymically from H2268 (חֶבֶר);
16475,H2278,hebrew,חֲבֶרֶת,chăbereth,khab-eh'-reth,a consort,companion.,feminine of H2270 (חָבֵר);
16476,H2279,hebrew,חֹבֶרֶת,chôbereth,kho-beh'-reth,a joint,"which coupleth, coupling.",feminine active participle of H2266 (חָבַר);
16477,H2280,hebrew,חָבַשׁ,châbash,khaw-bash',"to wrap firmly (especially a turban, compress, or saddle); figuratively, to stop, to rule","bind (up), gird about, govern, healer, put, saddle, wrap about.",a primitive root;
16478,H2281,hebrew,חָבֵת,châbêth,khaw-bayth',"something fried, probably a griddle-cake",pan.,from an unused root probably meaning to cook (compare H4227 (מַחֲבַת));
16479,H2282,hebrew,חַג,chag,khag,"a festival, or a victim therefor","(solemn) feast (day), sacrifice, solemnity.",or חָג; from H2287 (חָגַג);
16480,H2283,hebrew,חָגָא,châgâʼ,khaw-gaw',"properly, vertigo, i.e. (figuratively) fear",terror.,from an unused root meaning to revolve (compare H2287 (חָגַג));
16481,H2284,hebrew,חָגָב,châgâb,khaw-gawb',a locust,locust.,of uncertain derivation;
16482,H2285,hebrew,חָגָב,Châgâb,khaw-gawb',"Chagab, one of the Nethinim",Hagab.,the same as H2284 (חָגָב); locust;
16483,H2286,hebrew,חֲגָבָא,Chăgâbâʼ,khag-aw-baw',"Chagaba or Chagabah, one of the Nethinim","Hagaba, Hagabah.",or חֲגָבָה; feminine of H2285 (חָגָב); locust;
16484,H2287,hebrew,חָגַג,châgag,khaw-gag',"properly, to move in acircle, i.e. (specifically) to march in asacred procession, to observe afestival; by implication, to be giddy","celebrate, dance, (keep, hold) a (solemn) feast (holiday), reel to and fro.","a primitive root (compare H2283 (חָגָא), H2328 (חוּג));"
16485,H2288,hebrew,חֲגָו,chăgâv,khag-awv',a rift in rocks,cleft.,from an unused root meaning to take refuge;
16486,H2289,hebrew,חָגוֹר,châgôwr,khaw-gore',belted,girded with.,from H2296 (חָגַר);
16487,H2290,hebrew,חֲגוֹר,chăgôwr,khag-ore',a belt (for the waist),"apron, armour, gird(-le).",or חֲגֹר; and (feminine) חֲגוֹרָה; or חֲגֹרָה; from H2296 (חָגַר);
16488,H2291,hebrew,חַגִּי,Chaggîy,khag-ghee',"Chaggi, an Israelite; also (patronymically) a Chaggite, or descendant of the same","Haggi, Haggites.",from H2287 (חָגַג); festive
16489,H2292,hebrew,חַגַּי,Chaggay,khag-gah'-ee,"Chaggai, a Hebrew prophet",Haggai.,from H2282 (חַג); festive;
16490,H2293,hebrew,חַגִּיָּה,Chaggîyâh,khag-ghee-yaw',"Chaggijah, an Israelite",Haggiah.,from H2282 (חַג) and H3050 (יָהּ); festival of Jah;
16491,H2294,hebrew,חַגִּית,Chaggîyth,khag-gheeth',"Chaggith, a wife of David",Haggith.,feminine of H2291 (חַגִּי); festive;
16492,H2295,hebrew,חׇגְלָה,Choglâh,khog-law',"Choglah, an Israelitess",Hoglah. See also H1031 (בֵּית חׇגְלָה).,of uncertain derivation; probably a partridge;
16493,H2296,hebrew,חָגַר,châgar,khaw-gar',"to gird on (as a belt, armor, etc.)","be able to put on, be afraid, appointed, gird, restrain, [idiom] on every side.",a primitive root;
16494,H2297,hebrew,חַד,chad,khad,one,one.,abridged from H259 (אֶחָד);
16495,H2298,hebrew,חַד,chad,khad,"as card. one; as article single; as an ordinal, first; adverbially, at once","a, first, one, together.",(Aramaic) corresponding to H2297 (חַד);
16496,H2299,hebrew,חַד,chad,khad,sharp,sharp.,from H2300 (חָדַד);
16497,H2300,hebrew,חָדַד,châdad,khaw-dad',"to be (causatively, make) sharp or (figuratively) severe","be fierce, sharpen.",a primitive root;
16498,H2301,hebrew,חֲדַד,Chădad,khad-ad',"Chadad, an Ishmaelite",Hadad.,from H2300 (חָדַד); fierce;
16499,H2302,hebrew,חָדָה,châdâh,khaw-daw',to rejoice,"make glad, be joined, rejoice.",a primitive root;
16500,H2303,hebrew,חַדּוּד,chaddûwd,khad-dood',a point,sharp.,from H2300 (חָדַד);
16501,H2304,hebrew,חֶדְוָה,chedvâh,khed-vaw',rejoicing,"gladness, joy.",from H2302 (חָדָה);
16502,H2305,hebrew,חֶדְוָה,chedvâh,khed-vaw',{rejoicing},joy.,(Aramaic) corresponding to H2304 (חֶדְוָה)
16503,H2306,hebrew,חֲדִי,chădîy,khad-ee',a breast,breast.,(Aramaic) corresponding to H2373 (חָזֶה);
16504,H2307,hebrew,חָדִיד,Châdîyd,khaw-deed',"Chadid, a place in Palestine",Hadid.,from H2300 (חָדַד); a peak;
16505,H2308,hebrew,חָדַל,châdal,khaw-dal',"properly, to be flabby, i.e. (by implication) desist; (figuratively) be lacking or idle","cease, end, fall, forbear, forsake, leave (off), let alone, rest, be unoccupied, want.",a primitive root;
16506,H2309,hebrew,חֶדֶל,chedel,kheh'-del,"rest, i.e. the state of the dead",world.,from H2308 (חָדַל);
16507,H2310,hebrew,חָדֵל,châdêl,khaw-dale',"vacant, i.e. ceasing or destitute","he that forbeareth, frail, rejected.",from H2308 (חָדַל);
16508,H2311,hebrew,חַדְלַי,Chadlay,khad-lah'-ee,"Chadlai, an Israelite",Hadlai.,from H2309 (חֶדֶל); idle;
16509,H2312,hebrew,חֵדֶק,chêdeq,khay'-dek,a prickly plant,"brier, thorn.",from an unused root meaning to sting;
16510,H2313,hebrew,חִדֶּקֶל,Chiddeqel,khid-deh'-kel,the Chiddekel (or Tigris) river,Hiddekel.,probably of foreign origin;
16511,H2314,hebrew,חָדַר,châdar,khaw-dar',"properly, to inclose (as a room), i.e. (by analogy,) to beset (as in a siege)",enter a privy chamber.,a primitive root;
16512,H2315,hebrew,חֶדֶר,cheder,kheh'-der,an apartment (usually literal),"((bed) inner) chamber, innermost(-ward) part, parlour, [phrase] south, [idiom] within.",from H2314 (חָדַר);
16513,H2316,hebrew,חֲדַר,Chădar,khad-ar',"Chadar, an Ishmaelite",Hadar.,another form for H2315 (חֶדֶר); chamber;
16514,H2317,hebrew,חַדְרָךְ,Chadrâk,khad-rawk',"Chadrak, a Syrian deity",Hadrach.,of uncertain derivation;
16515,H2318,hebrew,חָדַשׁ,châdash,khaw-dash',"to be new; causatively, to rebuild","renew, repair.",a primitive root;
16516,H2319,hebrew,חָדָשׁ,châdâsh,khaw-dawsh',new,"fresh, new thing.",from H2318 (חָדַשׁ);
16517,H2320,hebrew,חֹדֶשׁ,chôdesh,kho'-desh,"the new moon; by implication, a month","month(-ly), new moon.",from H2318 (חָדַשׁ);
16518,H2321,hebrew,חֹדֶשׁ,Chôdesh,kho'-desh,"Chodesh, an Israelitess",Hodesh.,the same as H2320 (חֹדֶשׁ);
16519,H2322,hebrew,חֲדָשָׁה,Chădâshâh,khad-aw-shaw',"Chadashah, a place in Palestine",Hadashah.,feminine of H2319 (חָדָשׁ); new;
16520,H2323,hebrew,חֲדָת,chădâth,khad-ath',new,new.,(Aramaic) corresponding to H2319 (חָדָשׁ);
16521,H2324,hebrew,חֲוָא,chăvâʼ,khav-aw',to show,shew.,(Aramaic) corresponding to H2331 (חָוָה);
16522,H2325,hebrew,חוּב,chûwb,khoob,"properly, perhaps to tie, i.e. (figuratively and reflexively) to owe, or (by implication) to forfeit",make endanger.,also חָיַב; a primitive root;
16523,H2326,hebrew,חוֹב,chôwb,khobe,debt,debtor.,from H2325 (חוּב);
16524,H2327,hebrew,חוֹבָה,chôwbâh,kho-baw',"Chobah, a place in Syria",Hobah.,feminine active participle of H2247 (חָבָה); hiding place;
16525,H2328,hebrew,חוּג,chûwg,khoog,to describe a circle,compass.,a primitive root (compare H2287 (חָגַג));
16526,H2329,hebrew,חוּג,chûwg,khoog,a circle,"circle, circuit, compass.",from H2328 (חוּג);
16527,H2330,hebrew,חוּד,chûwd,khood,"properly, to tie a knot, i.e. (figuratively) to propound a riddle",put forth.,a primitive root;
16528,H2331,hebrew,חָוָה,châvâh,khaw-vah',"properly, to live; by implication (intensively) to declare or show",show.,"a primitive root; (compare H2324 (חֲוָא), H2421 (חָיָה));"
16529,H2332,hebrew,חַוָּה,Chavvâh,khav-vaw',"Chavvah (or Eve), the first woman",Eve.,causatively from H2331 (חָוָה); life-giver;
16530,H2333,hebrew,חַוָּה,chavvâh,khav-vaw',"by implication, an encampment or village",(small) town.,"properly, the same as H2332 (חַוָּה) (lifegiving, i.e. living-place);"
16531,H2334,hebrew,חַוּוֹת יָעִיר,Chavvôwth Yâʻîyr,khav-vothe' yaw-eer',"hamlets of Jair, a region of Palestine",(Bashan-) Havoth-jair.,from the plural of H2333 (חַוָּה) and a modification of H3265 (יָעוּר);
16532,H2335,hebrew,חוֹזַי,Chôwzay,kho-zah'-ee,"Chozai, an Israelite",the seers.,from H2374 (חֹזֶה); visionary;
16533,H2336,hebrew,חוֹחַ,chôwach,kho'-akh,"a thorn; by analogy, a ring forthe nose","bramble, thistle, thorn.",from an unused root apparently meaning to pierce;
16534,H2337,hebrew,חָוָח,châvâch,khaw-vawkh',a dell or crevice (as if pierced in the earth),thicket.,perhaps the same as H2336 (חוֹחַ);
16535,H2338,hebrew,חוּט,chûwṭ,khoot,"to string together, i.e. (figuratively) to repair",join.,"(Aramaic) corresponding to the root of H2339 (חוּט), perhaps as a denominative;"
16536,H2339,hebrew,חוּט,chûwṭ,khoot,"a string; by implication, a measuring tape","cord, fillet, line, thread.",from an unused root probably meaning to sew;
16537,H2340,hebrew,חִוִּי,Chivvîy,khiv-vee',"a Chivvite, one of the aboriginal tribes of Palestine",Hivite.,perhaps from H2333 (חַוָּה); a villager;
16538,H2341,hebrew,חֲוִילָה,Chăvîylâh,khav-ee-law',"Chavilah, the name of two or three eastern regions; also perhaps of two men",Havilah.,probably from H2342 (חוּל); circular;
16539,H2342,hebrew,חוּל,chûwl,khool,"properly, to twist or whirl (in a circular or spiral manner), i.e. (specifically) to dance, to writhe in pain (especially of parturition) or fear; figuratively, to wait, to pervert","bear, (make to) bring forth, (make to) calve, dance, drive away, fall grievously (with pain), fear, form, great, grieve, (be) grievous, hope, look, make, be in pain, be much (sore) pained, rest, shake, shapen, (be) sorrow(-ful), stay, tarry, travail (with pain), tremble, trust, wait carefully (patiently), be wounded.",or חִיל; a primitive root;
16540,H2343,hebrew,חוּל,Chûwl,khool,"Chul, a son of Aram; also the region settled by him",Hul.,from H2342 (חוּל); a circle;
16541,H2344,hebrew,חוֹל,chôwl,khole,sand (as round or whirling particles),sand.,from H2342 (חוּל);
16542,H2345,hebrew,חוּם,chûwm,khoom,sunburnt or swarthy (blackish),brown.,"from an unused root meaning to be warm, i.e. (by implication)"
16543,H2346,hebrew,חוֹמָה,chôwmâh,kho-maw',a wall of protection,"wall, walled.",feminine active participle of an unused root apparently meaning to join;
16544,H2347,hebrew,חוּס,chûwç,khoos,"properly, to cover, i.e. (figuratively) to compassionate","pity, regard, spare.",a primitive root;
16545,H2348,hebrew,חוֹף,chôwph,khofe,a cove (as a sheltered bay),"coast (of the sea), haven, shore, (sea-) side.",from an unused root meaning to cover;
16546,H2349,hebrew,חוּפָם,Chûwphâm,khoo-fawm',"Chupham, an Israelite",Hupham.,from the same as H2348 (חוֹף); protection;
16547,H2350,hebrew,חוּפָמִי,Chûwphâmîy,khoo-faw-mee',a Chuphamite or descendant of Chupham,Huphamites.,patronymically from H2349 (חוּפָם);
16548,H2351,hebrew,חוּץ,chûwts,khoots,"properly, separate by awall, i.e. outside, outdoors","abroad, field, forth, highway, more, out(-side, -ward), street, without.",or (shortened) חֻץ; (both forms feminine in the plural) from an unused root meaning to sever;
16549,H2352,hebrew,חוּר,chûwr,khoor,the crevice of a serpent; the cell of aprison,hole.,or (shortened) חֻר; from an unused root probably meaning to bore;
16550,H2353,hebrew,חוּר,chûwr,khoor,white linen,white.,from H2357 (חָוַר);
16551,H2354,hebrew,חוּר,Chûwr,khoor,"Chur, the name of four Israelites and one Midianite",Hur.,the same as H2353 (חוּר) or H2352 (חוּר);
16552,H2355,hebrew,חוֹר,chôwr,khore,white linen,network. Compare H2715 (חֹר).,the same as H2353 (חוּר);
16553,H2356,hebrew,חוֹר,chôwr,khore,"a cavity, socket, den","cave, hole.",or (shortened) חֹר; the same as H2352 (חוּר);
16554,H2357,hebrew,חָוַר,châvar,khaw-var',to blanch (as with shame),wax pale.,a primitive root;
16555,H2358,hebrew,חִוָּר,chivvâr,khiv-vawr',white,white.,(Aramaic) from a root corresponding to H2357 (חָוַר);
16556,H2359,hebrew,חוּרִי,Chûwrîy,khoo-ree',"Churi, an Israelite",Huri.,probably from H2353 (חוּר); linen-worker;
16557,H2360,hebrew,חוּרַי,Chûwray,khoo-rah'ee,"Churai, an Israelite",Hurai.,probably an orthographical variation for H2359 (חוּרִי);
16558,H2361,hebrew,חוּרָם,Chûwrâm,khoo-rawm',"Churam, the name of an Israelite and two Syrians",Huram. Compare H2438 (חִירָם).,"probably from H2353 (חוּר); whiteness, i.e. noble;"
16559,H2362,hebrew,חַוְרָן,Chavrân,khav-rawn',"Chavran, a region East of the Jordan",Hauran.,apparently from H2357 (חָוַר) (in the sense of H2352 (חוּר)); cavernous;
16560,H2363,hebrew,חוּשׁ,chûwsh,koosh,"to hurry; figuratively, to be eager with excitement or enjoyment","(make) haste(-n), ready.",a primitive root;
16561,H2364,hebrew,חוּשָׁה,Chûwshâh,khoo-shaw',"Chushah, an Israelite",Hushah.,from H2363 (חוּשׁ); haste;
16562,H2365,hebrew,חוּשַׁי,Chûwshay,khoo-shah'-ee,"Chushai, an Israelite",Hushai.,from H2363 (חוּשׁ); hasty;
16563,H2366,hebrew,חוּשִׁים,Chûwshîym,khoo-sheem',"Chushim, the name of three Israelites",Hushim.,or חֻשִׁים; or חֻשִׁם; plural from H2363 (חוּשׁ); hasters;
16564,H2367,hebrew,חוּשָׁם,Chûwshâm,khoo-shawm',"Chusham, an Idumaean",Husham.,or חֻשָׁם; from H2363 (חוּשׁ); hastily;
16565,H2368,hebrew,חוֹתָם,chôwthâm,kho-thawm',a signature-ring,"seal, signet.",or חֹתָם; from H2856 (חָתַם);
16566,H2369,hebrew,חוֹתָם,Chôwthâm,kho-thawm',"Chotham, the name of two Israelites","Hotham, Hothan.",the same as H2368 (חוֹתָם); seal;
16567,H2370,hebrew,חֲזָא,chăzâʼ,khaz-aw',"to gaze upon; mentally to dream, be usual (i.e. seem)","behold, have (a dream), see, be wont.","(Aramaic) or חֲזָה; (Aramaic), corresponding to H2372 (חָזָה);"
16568,H2371,hebrew,חֲזָאֵל,Chăzâʼêl,khaz-aw-ale',"Chazael, a king of Syria",Hazael.,or חֲזָהאֵל; from H2372 (חָזָה) and H410 (אֵל); God has seen;
16569,H2372,hebrew,חָזָה,châzâh,khaw-zaw',"to gaze at; mentally to perceive, contemplate (with pleasure); specifically, to have avision of","behold, look, prophesy, provide, see.",a primitive root;
16570,H2373,hebrew,חָזֶה,châzeh,khaw-zeh',the breast (as most seen in front),breast.,from H2372 (חָזָה);
16571,H2374,hebrew,חֹזֶה,chôzeh,kho-zeh',a beholder in vision; also a compact (as looked upon with approval),"agreement, prophet, see that, seer, (star-) gazer.",active participle of H2372 (חָזָה);
16572,H2375,hebrew,חֲזוֹ,Chăzôw,khaz-o',"Chazo, a nephew of Abraham",Hazo.,from H2372 (חָזָה); seer;
16573,H2376,hebrew,חֵזֵו,chêzêv,khay'-zev,a sight,"look, vision.",(Aramaic) from H2370 (חֲזָא);
16574,H2377,hebrew,חָזוֹן,châzôwn,khaw-zone',"a sight (mentally), i.e. a dream, revelation, or oracle",vision.,from H2372 (חָזָה);
16575,H2378,hebrew,חָזוֹת,châzôwth,khaw-zooth',a revelation,vision.,from H2372 (חָזָה);
16576,H2379,hebrew,חֲזוֹת,chăzôwth,khaz-oth',a view,sight.,(Aramaic) from H2370 (חֲזָא);
